company,wiki_title,wiki_href,official_site,status,keep_for_brand_guide_pool,evidence_url,evidence_type,notes
BP,BP,https://de.wikipedia.org/wiki/BP,https://bp.com,partial_official_material,yes,https://www.bp.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Broadcom,Broadcom,https://de.wikipedia.org/wiki/Broadcom,https://www.broadcom.com/,partial_official_material,yes,https://www.broadcom.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Broadcom Inc.,Broadcom Inc.,https://de.wikipedia.org/wiki/Broadcom_Inc.,https://www.broadcom.com/,partial_official_material,yes,https://www.broadcom.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
BYD,BYD,https://de.wikipedia.org/wiki/BYD,https://www.bydglobal.com/,partial_official_material,yes,https://www.bydglobal.com/cn/index.html,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Cardinal Health,Cardinal Health,https://de.wikipedia.org/wiki/Cardinal_Health,https://www.cardinalhealth.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Caterpillar,Caterpillar,https://de.wikipedia.org/wiki/Caterpillar,https://www.caterpillar.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
CATL,CATL,https://de.wikipedia.org/wiki/CATL,https://www.catl.com/en/,partial_official_material,yes,https://www.catl.com/en/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Cencora,Cencora,https://de.wikipedia.org/wiki/Cencora,http://www.cencora.com/,partial_official_material,yes,https://www.cencora.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Centene,Centene,https://de.wikipedia.org/wiki/Centene,https://www.centene.com/,partial_official_material,yes,https://www.centene.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Chevron,Chevron Corporation,https://de.wikipedia.org/wiki/Chevron_Corporation,https://www.chevron.com,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
China Baowu Steel Group,China Baowu Steel Group,https://de.wikipedia.org/wiki/China_Baowu_Steel_Group,http://www.baowugroup.com,partial_official_material,yes,https://www.baowugroup.com/logos,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
China Communications Construction,China Communications Construction Company,https://de.wikipedia.org/wiki/China_Communications_Construction_Company,http://en.ccccltd.cn/,partial_official_material,yes,https://en.ccccltd.cn/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
China Construction Bank,China Construction Bank,https://de.wikipedia.org/wiki/China_Construction_Bank,https://ccb.com,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
China Energy Investment,China Energy Investment,https://de.wikipedia.org/wiki/China_Energy_Investment,https://www.ceic.com/,partial_official_material,yes,https://www.ceic.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
China Life Insurance,China Life Insurance,https://de.wikipedia.org/wiki/China_Life_Insurance,https://www.chinalife.com.cn,partial_official_material,yes,https://www.chinalife.com.cn,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
China Merchants Bank,China Merchants Bank,https://de.wikipedia.org/wiki/China_Merchants_Bank,https://www.cmbchina.com,partial_official_material,yes,https://www.cmbchina.com,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
China Minmetals,China Minmetals,https://de.wikipedia.org/wiki/China_Minmetals,http://www.minmetals.com/,partial_official_material,yes,http://www.minmetals.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
China Mobile,China Mobile,https://de.wikipedia.org/wiki/China_Mobile,http://www.10086.cn/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
China National Offshore Oil,China National Offshore Oil,https://de.wikipedia.org/wiki/China_National_Offshore_Oil,https://www.cnooc.com.cn/,not_yet_confirmed,no,,,"No brand-guide, media, logo, or culture signal was found on the scanned official-domain pages."
China National Petroleum,China National Petroleum Corporation,https://de.wikipedia.org/wiki/China_National_Petroleum_Corporation,http://www.cnpc.com.cn/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
China Railway Construction,China Railway Construction,https://de.wikipedia.org/wiki/China_Railway_Construction,http://www.crcc.cn,partial_official_material,yes,http://www.crcc.cn/logos,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
China Railway Engineering,China Railway Engineering,https://de.wikipedia.org/wiki/China_Railway_Engineering,http://www.crecg.com,partial_official_material,yes,https://www.crecg.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
China Resources,China Resources,https://de.wikipedia.org/wiki/China_Resources,http://www.crc.com.hk,partial_official_material,yes,https://www.crc.com.hk/about/culture/index.html,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
China Southern Power Grid,China Southern Power Grid,https://de.wikipedia.org/wiki/China_Southern_Power_Grid,http://www.csg.cn/,partial_official_material,yes,http://www.csg.cn/logos,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
China State Construction Engineering,China State Construction Engineering,https://de.wikipedia.org/wiki/China_State_Construction_Engineering,https://english.cscec.com/,partial_official_material,yes,https://english.cscec.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Chubb,Chubb,https://de.wikipedia.org/wiki/Chubb,http://www.acelimited.com/,partial_official_material,yes,https://www.chubb.com/de-de/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
CIGNA,CIGNA,https://de.wikipedia.org/wiki/CIGNA,https://www.cigna.com/,minimal_official_material,no,https://www.cigna.com/,minimal_term,Only thin official material surfaced in the scan budget.
Cisco Systems,Cisco Systems,https://de.wikipedia.org/wiki/Cisco_Systems,https://www.cisco.com/,partial_official_material,yes,https://www.cisco.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
CITIC Group,CITIC Group,https://de.wikipedia.org/wiki/CITIC_Group,https://www.group.citic,partial_official_material,yes,https://www.group.citic,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Citigroup,Citigroup,https://de.wikipedia.org/wiki/Citigroup,http://www.citigroup.com/,partial_official_material,yes,https://www.citigroup.com/global,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
CNOOC,CNOOC,https://de.wikipedia.org/wiki/CNOOC,https://www.cnoocltd.com/,partial_official_material,yes,https://www.cnoocltd.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Coca-Cola,The Coca-Cola Company,https://de.wikipedia.org/wiki/The_Coca-Cola_Company,https://www.coca-colacompany.com/,partial_official_material,yes,https://www.coca-colacompany.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Coca-Cola,Coca-Cola Company,https://de.wikipedia.org/wiki/Coca-Cola_Company,https://www.coca-colacompany.com/,partial_official_material,yes,https://www.coca-colacompany.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Comcast,Comcast,https://de.wikipedia.org/wiki/Comcast,https://www.cmcsa.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Commonwealth Bank,Commonwealth Bank of Australia,https://de.wikipedia.org/wiki/Commonwealth_Bank_of_Australia,https://www.commbank.com.au/,partial_official_material,yes,https://www.commbank.com.au/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Costco Wholesale,Costco Wholesale,https://de.wikipedia.org/wiki/Costco_Wholesale,https://www.costco.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Crédit Agricole,Crédit Agricole,https://de.wikipedia.org/wiki/Cr%C3%A9dit_Agricole,https://www.credit-agricole.com/,partial_official_material,yes,https://www.credit-agricole.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
CVS Health,CVS Caremark,https://de.wikipedia.org/wiki/CVS_Caremark,https://www.cvshealth.com/,partial_official_material,yes,https://www.cvshealth.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
CVS Health,CVS Health,https://de.wikipedia.org/wiki/CVS_Health,http://cvshealth.com/,partial_official_material,yes,https://www.cvshealth.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Deutsche Telekom,Deutsche Telekom,https://de.wikipedia.org/wiki/Deutsche_Telekom,https://www.telekom.com/,partial_official_material,yes,https://www.telekom.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Elevance Health,Elevance Health,https://de.wikipedia.org/wiki/Elevance_Health,https://www.elevancehealth.com,partial_official_material,yes,https://www.elevancehealth.com,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Eli Lilly and Company,Eli Lilly and Company,https://de.wikipedia.org/wiki/Eli_Lilly_and_Company,https://www.lilly.com/,partial_official_material,yes,https://www.lilly.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Enel,Enel,https://de.wikipedia.org/wiki/Enel,https://www.enel.com/,partial_official_material,yes,https://www.enel.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Equinor,Equinor,https://de.wikipedia.org/wiki/Equinor,https://equinor.de,minimal_official_material,no,https://www.equinor.de/impressum,minimal_term,Only thin official material surfaced in the scan budget.
ExxonMobil,ExxonMobil,https://de.wikipedia.org/wiki/ExxonMobil,https://corporate.exxonmobil.com/,partial_official_material,yes,https://corporate.exxonmobil.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Fannie Mae,Fannie Mae,https://de.wikipedia.org/wiki/Fannie_Mae,https://www.fanniemae.com/,partial_official_material,yes,https://www.fanniemae.com/newsroom,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Ford Motor,Ford Motor Company,https://de.wikipedia.org/wiki/Ford_Motor_Company,https://www.ford.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Foxconn,Foxconn,https://de.wikipedia.org/wiki/Foxconn,https://www.foxconn.com/,minimal_official_material,no,https://www.foxconn.com/zh-tw,minimal_term,Only thin official material surfaced in the scan budget.
Freddie Mac,Freddie Mac,https://de.wikipedia.org/wiki/Freddie_Mac,http://www.freddiemac.com,partial_official_material,yes,https://www.freddiemac.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Gazprom,Gazprom,https://de.wikipedia.org/wiki/Gazprom,https://www.gazprom.ru/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
General Electric,General Electric,https://de.wikipedia.org/wiki/General_Electric,https://www.ge.com/,partial_official_material,yes,https://www.ge.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
General Motors,General Motors,https://de.wikipedia.org/wiki/General_Motors,https://www.gm.com/,partial_official_material,yes,https://www.gm.com/logos,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Glencore,Glencore,https://de.wikipedia.org/wiki/Glencore,https://www.glencore.com/,partial_official_material,yes,https://www.glencore.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Goldman Sachs,Goldman Sachs,https://de.wikipedia.org/wiki/Goldman_Sachs,https://www.goldmansachs.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
HDFC Bank,HDFC Bank,https://de.wikipedia.org/wiki/HDFC_Bank,https://hdfc.bank.in/,partial_official_material,yes,https://www.hdfc.bank.in/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Hengli Group,Hengli Group,https://de.wikipedia.org/wiki/Hengli_Group,https://www.hengli.com/,partial_official_material,yes,https://global.hengli.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Hermès,Hermès (Unternehmen),https://de.wikipedia.org/wiki/Herm%C3%A8s_(Unternehmen),https://www.hermes.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Hoffmann-La Roche,Hoffmann-La Roche,https://de.wikipedia.org/wiki/Hoffmann-La_Roche,https://www.roche.com/,minimal_official_material,no,https://www.roche.com/,minimal_term,Only thin official material surfaced in the scan budget.
Home Depot,Home Depot,https://de.wikipedia.org/wiki/Home_Depot,https://www.homedepot.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Home Depot,The Home Depot,https://de.wikipedia.org/wiki/The_Home_Depot,https://www.homedepot.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Honda Motor,Honda,https://de.wikipedia.org/wiki/Honda,https://global.honda,partial_official_material,yes,https://global.honda/en/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Honda Motor,Honda Motor,https://de.wikipedia.org/wiki/Honda_Motor,https://global.honda/en/,partial_official_material,yes,https://global.honda/en/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
HSBC,HSBC,https://de.wikipedia.org/wiki/HSBC,https://hsbc.com/,partial_official_material,yes,https://www.hsbc.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Huawei,Huawei,https://de.wikipedia.org/wiki/Huawei,https://www.huawei.com/,partial_official_material,yes,https://www.huawei.com/en/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Humana Inc.,Humana Inc.,https://de.wikipedia.org/wiki/Humana_Inc.,https://www.humana.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Hyundai Motor,Hyundai Motor Company,https://de.wikipedia.org/wiki/Hyundai_Motor_Company,https://www.hyundai.com/,partial_official_material,yes,https://www.hyundai.com/de/de.html,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
IBM,IBM,https://de.wikipedia.org/wiki/IBM,https://www.ibm.com/,partial_official_material,yes,https://www.ibm.com/us-en,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
ICBC,Industrial and Commercial Bank of China,https://de.wikipedia.org/wiki/Industrial_and_Commercial_Bank_of_China,https://www.icbc.com.cn,not_yet_confirmed,no,,,"No brand-guide, media, logo, or culture signal was found on the scanned official-domain pages."
Inditex,Inditex,https://de.wikipedia.org/wiki/Inditex,https://www.inditex.com/,partial_official_material,yes,https://www.inditex.com/itxcomweb/es/en/home,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Industrial Bank,Industrial Bank,https://de.wikipedia.org/wiki/Industrial_Bank,https://www.cib.com.cn,partial_official_material,yes,https://www.cib.com.cn/cn/index.html,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
International Holding Company,International Holding Company,https://de.wikipedia.org/wiki/International_Holding_Company,https://www.ihcuae.com/,partial_official_material,yes,https://www.ihcuae.com/newsroom,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Intesa Sanpaolo,Intesa Sanpaolo,https://de.wikipedia.org/wiki/Intesa_Sanpaolo,https://www.intesasanpaolo.com/,partial_official_material,yes,https://www.intesasanpaolo.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Intuit,Intuit,https://de.wikipedia.org/wiki/Intuit,https://www.intuit.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Intuitive Surgical,Intuitive Surgical,https://de.wikipedia.org/wiki/Intuitive_Surgical,https://www.intuitive.com,partial_official_material,yes,https://www.intuitive.com/logos,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Itaú Unibanco,Itaú Unibanco,https://de.wikipedia.org/wiki/Ita%C3%BA_Unibanco,https://www.itau.com.br,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
JD.com,JD.com,https://de.wikipedia.org/wiki/JD.com,https://jd.com/,partial_official_material,yes,https://global.jd.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Johnson & Johnson,Johnson & Johnson,https://de.wikipedia.org/wiki/Johnson_%26_Johnson,https://www.jnj.com,rich_brand,yes,https://www.jnj.com,rich_term,Useful official brand-guide material is available.
JPMorgan Chase,JPMorgan Chase,https://de.wikipedia.org/wiki/JPMorgan_Chase,http://www.jpmorgan.com,minimal_official_material,no,https://www.jpmorgan.com/DE/en/about-us,minimal_term,Only thin official material surfaced in the scan budget.
Kroger,Kroger (Unternehmen),https://de.wikipedia.org/wiki/Kroger_(Unternehmen),https://www.kroger.com,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Kweichow Moutai,Kweichow Moutai,https://de.wikipedia.org/wiki/Kweichow_Moutai,https://www.moutaichina.com,partial_official_material,yes,https://www.moutaichina.com,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Life Insurance Corporation of India,Life Insurance Corporation of India,https://de.wikipedia.org/wiki/Life_Insurance_Corporation_of_India,https://licindia.in/,partial_official_material,yes,https://licindia.in/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Linde plc,Linde plc,https://de.wikipedia.org/wiki/Linde_plc,http://www.linde.com/,partial_official_material,yes,https://www.linde.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
LVMH,Moët Hennessy Louis Vuitton,https://de.wikipedia.org/wiki/Mo%C3%ABt_Hennessy_Louis_Vuitton,https://www.lvmh.com/,partial_official_material,yes,https://www.lvmh.com/en,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
LVMH,LVMH,https://de.wikipedia.org/wiki/LVMH,https://www.lvmh.com/,partial_official_material,yes,https://www.lvmh.com/en,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
L’Oréal,L’Oréal,https://de.wikipedia.org/wiki/L%E2%80%99Or%C3%A9al,http://www.loreal.com,partial_official_material,yes,https://www.loreal.com/en/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Marathon Petroleum,Marathon Petroleum,https://de.wikipedia.org/wiki/Marathon_Petroleum,https://www.marathonpetroleum.com/,partial_official_material,yes,https://www.marathonpetroleum.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Mastercard,Mastercard,https://de.wikipedia.org/wiki/Mastercard,https://www.mastercard.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
McDonald’s,McDonald’s,https://de.wikipedia.org/wiki/McDonald%E2%80%99s,https://www.mcdonalds.com,partial_official_material,yes,https://www.mcdonalds.com/de/de-de.html,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
McKesson,McKesson,https://de.wikipedia.org/wiki/McKesson,https://www.mckesson.com/,partial_official_material,yes,https://www.mckesson.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Mercedes-Benz Group,Mercedes-Benz Group,https://de.wikipedia.org/wiki/Mercedes-Benz_Group,https://group.mercedes-benz.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Merck,MSD Sharp & Dohme,https://de.wikipedia.org/wiki/MSD_Sharp_%26_Dohme,https://www.merck.com/,partial_official_material,yes,https://www.merck.com/media/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Meta Platforms,Meta Platforms,https://de.wikipedia.org/wiki/Meta_Platforms,https://www.meta.com/,partial_official_material,yes,https://www.meta.com/de/en/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Microsoft,Microsoft,https://de.wikipedia.org/wiki/Microsoft,https://www.microsoft.com/,minimal_official_material,no,https://www.microsoft.com/de-de,minimal_term,Only thin official material surfaced in the scan budget.
Mitsubishi Corporation,Mitsubishi Corporation,https://de.wikipedia.org/wiki/Mitsubishi_Corporation,http://www.mitsubishicorp.com/,partial_official_material,yes,https://www.mitsubishicorp.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Mitsubishi UFJ Financial,Mitsubishi UFJ Financial Group,https://de.wikipedia.org/wiki/Mitsubishi_UFJ_Financial_Group,http://www.mufg.jp/,partial_official_material,yes,https://www.mufg.jp/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Mitsubishi UFJ Financial,Mitsubishi UFJ Financial,https://de.wikipedia.org/wiki/Mitsubishi_UFJ_Financial,https://www.mufg.jp/english/,partial_official_material,yes,https://www.mufg.jp/english/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Morgan Stanley,Morgan Stanley,https://de.wikipedia.org/wiki/Morgan_Stanley,https://morganstanley.com,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Münchener Rück,Münchener Rück,https://de.wikipedia.org/wiki/M%C3%BCnchener_R%C3%BCck,http://www.munichre.com,partial_official_material,yes,https://www.munichre.com/en.html,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Nestlé,Nestlé,https://de.wikipedia.org/wiki/Nestl%C3%A9,https://www.nestle.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Netflix,Netflix,https://de.wikipedia.org/wiki/Netflix,https://www.netflix.com/,partial_official_material,yes,https://www.netflix.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Novartis,Novartis,https://de.wikipedia.org/wiki/Novartis,http://www.novartis.com/,partial_official_material,yes,https://www.novartis.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Novo Nordisk,Novo Nordisk,https://de.wikipedia.org/wiki/Novo_Nordisk,https://www.novonordisk.com,minimal_official_material,no,https://www.novonordisk.com/news-and-media/latest-news/setting-record-straight-on-obesity-and-novo-nordisks-obesity-pill.html,minimal_term,Only thin official material surfaced in the scan budget.
NTT,Nippon Telegraph and Telephone,https://de.wikipedia.org/wiki/Nippon_Telegraph_and_Telephone,https://group.ntt/jp/,partial_official_material,yes,https://group.ntt/jp/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Nvidia,Nvidia,https://de.wikipedia.org/wiki/Nvidia,https://www.nvidia.com/,partial_official_material,yes,https://www.nvidia.com/de-de/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Oracle,Oracle,https://de.wikipedia.org/wiki/Oracle,https://www.oracle.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Palantir Technologies,Palantir Technologies,https://de.wikipedia.org/wiki/Palantir_Technologies,https://www.palantir.com/,partial_official_material,yes,https://www.palantir.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
